,size,from_Concordia,price
0,4.5,6.0,1400.0
1,5.5,5.0,1925.0
3,1.5,2.0,1425.0
4,3.5,3.0,1710.0
5,5.5,9.0,1700.0
6,7.5,4.0,2900.0
7,1.5,9.0,740.0
8,6.5,3.0,3500.0
9,3.5,6.0,1350.0
10,4.5,9.0,1550.0
11,1.5,4.0,950.0
12,4.5,7.0,2000.0
13,5.5,10.0,1400.0
14,4.5,1.0,2639.0
15,3.5,1.0,1765.0
16,1.5,1.0,1538.0
17,3.5,3.0,1700.0
18,5.5,2.0,3442.0
19,3.5,2.0,1715.0
20,4.5,2.0,2415.0
21,1.5,2.0,1505.0
22,5.5,1.0,5025.0
23,3.5,1.0,1765.0
24,4.5,1.0,2375.0
25,5.5,5.0,3500.0
26,4.5,5.0,2000.0
27,3.5,5.0,1385.0
28,1.5,5.0,1114.0
29,3.5,2.0,1650.0
30,5.5,1.0,4820.0
31,4.5,1.0,2230.0
32,3.5,1.0,1875.0
33,1.5,6.0,1200.0
34,4.5,2.0,2390.0
35,4.5,5.0,1195.0
36,3.5,1.0,1695.0
37,4.5,1.0,2150.0
38,1.5,1.0,1655.0
39,1.5,2.0,1820.0
40,5.5,2.0,3200.0
41,5.5,2.0,3450.0
42,3.5,2.0,1605.0
43,1.5,2.0,1275.0
44,4.5,2.0,2100.0
45,4.5,1.0,2230.0
46,4.5,2.0,3250.0
47,3.5,2.0,1850.0
48,4.5,5.0,2150.0
49,4.5,3.0,1750.0
50,1.5,8.0,720.0
51,5.5,9.0,1700.0
52,7.5,4.0,2900.0
53,1.5,9.0,740.0
54,6.5,3.0,3500.0
55,3.5,6.0,1350.0
56,4.5,9.0,1550.0
57,1.5,4.0,950.0
58,4.5,7.0,2000.0
59,5.5,10.0,1400.0
60,4.5,1.0,2639.0
61,3.5,1.0,1765.0
62,1.5,1.0,1538.0
63,3.5,3.0,1700.0
64,5.5,2.0,3442.0
65,3.5,2.0,1715.0
66,4.5,2.0,2415.0
67,1.5,2.0,1505.0
68,5.5,1.0,5025.0
69,3.5,1.0,1765.0
70,4.5,1.0,2375.0
71,5.5,5.0,3500.0
72,4.5,5.0,2000.0
73,3.5,5.0,1385.0
74,1.5,5.0,1114.0
75,3.5,2.0,1650.0
76,5.5,1.0,4820.0
77,4.5,1.0,2230.0
78,3.5,1.0,1875.0
79,1.5,6.0,1200.0
80,4.5,2.0,2390.0
81,4.5,5.0,1195.0
82,3.5,1.0,1695.0
83,4.5,1.0,2150.0
84,1.5,1.0,1655.0
85,1.5,2.0,1820.0
86,5.5,2.0,3200.0
87,5.5,2.0,3450.0
88,3.5,2.0,1605.0
89,1.5,2.0,1275.0
90,4.5,7.0,2225.0
91,4.5,8.0,1850.0
92,3.5,10.0,1495.0
93,3.5,8.0,1585.0
94,4.5,1.0,1900.0
95,1.5,8.0,720.0
96,5.5,9.0,1700.0
97,7.5,4.0,2900.0
98,1.5,9.0,740.0
99,6.5,3.0,3500.0
100,3.5,6.0,1350.0
101,4.5,9.0,1550.0
102,1.5,4.0,950.0
103,4.5,7.0,2000.0
104,5.5,10.0,1400.0
105,4.5,1.0,2639.0
106,3.5,1.0,1765.0
107,1.5,1.0,1538.0
108,3.5,3.0,1700.0
109,5.5,2.0,3442.0
110,3.5,2.0,1715.0
111,4.5,2.0,2415.0
112,1.5,2.0,1505.0
113,5.5,1.0,5025.0
114,3.5,1.0,1765.0
115,4.5,1.0,2375.0
116,5.5,5.0,3500.0
117,4.5,5.0,2000.0
118,3.5,5.0,1385.0
119,1.5,5.0,1114.0
120,3.5,2.0,1650.0
121,5.5,1.0,4820.0
122,4.5,1.0,2230.0
123,3.5,1.0,1875.0
124,1.5,6.0,1200.0
125,4.5,2.0,2390.0
126,4.5,5.0,1195.0
127,3.5,1.0,1695.0
128,4.5,1.0,2150.0
129,1.5,1.0,1655.0
130,1.5,2.0,1820.0
131,5.5,2.0,3200.0
132,5.5,2.0,3450.0
133,3.5,2.0,1605.0
134,1.5,2.0,1275.0
135,3.5,9.0,1500.0
136,1.5,2.0,1365.0
137,6.5,6.0,5460.0
138,1.5,4.0,850.0
139,5.5,5.0,1925.0
140,1.5,8.0,720.0
141,5.5,9.0,1700.0
142,7.5,4.0,2900.0
143,1.5,9.0,740.0
144,6.5,3.0,3500.0
145,3.5,6.0,1350.0
146,4.5,9.0,1550.0
147,1.5,4.0,950.0
148,4.5,7.0,2000.0
149,5.5,10.0,1400.0
150,4.5,1.0,2639.0
151,3.5,1.0,1765.0
152,1.5,1.0,1538.0
153,3.5,3.0,1700.0
154,5.5,2.0,3442.0
155,3.5,2.0,1715.0
156,4.5,2.0,2415.0
157,1.5,2.0,1505.0
158,5.5,1.0,5025.0
159,3.5,1.0,1765.0
160,4.5,1.0,2375.0
161,5.5,5.0,3500.0
162,4.5,5.0,2000.0
163,3.5,5.0,1385.0
164,1.5,5.0,1114.0
165,3.5,2.0,1650.0
166,5.5,1.0,4820.0
167,4.5,1.0,2230.0
168,3.5,1.0,1875.0
169,1.5,6.0,1200.0
170,4.5,2.0,2390.0
171,4.5,5.0,1195.0
172,3.5,1.0,1695.0
173,4.5,1.0,2150.0
174,1.5,1.0,1655.0
175,1.5,2.0,1820.0
176,5.5,2.0,3200.0
177,5.5,2.0,3450.0
178,3.5,2.0,1605.0
179,1.5,2.0,1275.0
180,5.5,8.0,2600.0
181,4.5,2.0,2225.0
182,5.5,1.0,4820.0
183,3.5,2.0,1600.0
184,4.5,3.0,2000.0
185,1.5,8.0,720.0
186,5.5,9.0,1700.0
187,7.5,4.0,2900.0
188,1.5,9.0,740.0
189,6.5,3.0,3500.0
190,3.5,6.0,1350.0
191,4.5,9.0,1550.0
192,1.5,4.0,950.0
193,4.5,7.0,2000.0
194,5.5,10.0,1400.0
195,4.5,1.0,2639.0
196,3.5,1.0,1765.0
197,1.5,1.0,1538.0
198,3.5,3.0,1700.0
199,5.5,2.0,3442.0
200,3.5,2.0,1715.0
201,4.5,2.0,2415.0
202,1.5,2.0,1505.0
203,5.5,1.0,5025.0
204,3.5,1.0,1765.0
205,4.5,1.0,2375.0
206,5.5,5.0,3500.0
207,4.5,5.0,2000.0
208,3.5,5.0,1385.0
209,1.5,5.0,1114.0
210,3.5,2.0,1650.0
211,5.5,1.0,4820.0
212,4.5,1.0,2230.0
213,3.5,1.0,1875.0
214,1.5,6.0,1200.0
215,4.5,2.0,2390.0
216,4.5,5.0,1195.0
217,3.5,1.0,1695.0
218,4.5,1.0,2150.0
219,1.5,1.0,1655.0
220,1.5,2.0,1820.0
221,5.5,2.0,3200.0
222,5.5,2.0,3450.0
223,3.5,2.0,1605.0
224,1.5,2.0,1275.0
